LicenseNumber,BusinessType,BusinessName,Address,City,State,ZIP Code,County,PhoneNumber,IssueDate,ExpirationDate,Classification(s),Status,SuretyCompany,ContractorBondNumber,BondEffectiveDate,BondCancellationDate,WorkersCompCoverageType,WorkersCompInsuranceCompany,WorkersCompPolicyNumber,EffectiveDate,ExpirationDate1,CancellationDate,WorkersCompSuspendDate,Contact Name,Company Email,Phone,Website,Minority / Ethnic Owned,Evidence URL,Evidence Type
251241,Corporation,PRIBUSS ENGINEERING INC,523 MAYFAIR AVE,SO SAN FRANCISCO,CA,94080,San Mateo,(650) 588 0447,01/04/1968,09/30/2026,B| C-4| C16| C20| C36,CLEAR,MERCHANTS BONDING COMPANY (MUTUAL),CA279278,01/01/2023,,Workers' Compensation Insurance,LIBERTY MUTUAL FIRE INSURANCE COMPANY,WC2Z91477220035,01/01/2025,01/01/2026,,,John Pribuss (CEO),pipe@pribuss.com,(650) 588-0447,https://www.pribuss.com/,MBE (Minority Business Enterprise) – explicit listing,https://www.pribuss.com/,
697406,Sole Owner,REFRESHED HEATING & COOLING,4070 NELSON AVE SUITE G,CONCORD,CA,94520,Contra Costa,(925) 755 4440,10/17/1994,09/30/2027,C20| C46,CLEAR,AMERICAN CONTRACTORS INDEMNITY COMPANY,100602318,01/01/2023,,Workers' Compensation Insurance,SECURITY NATIONAL INSURANCE COMPANY,SWC1523402,12/15/2024,12/15/2025,,,,info@refreshedhvac.com,(925) 755-4440,https://refreshedhvac.com/,Unknown,https://refreshedhvac.com/contact/,
1005759,Corporation,SANFORD AND SONS MECHANICAL SERVICES,2063 MAIN ST #441,OAKLEY,CA,94561,Contra Costa,(925) 625 4822,07/21/2015,07/31/2027,C20,CLEAR,,BX0053762,07/10/2024,,"Leasing Firm, Temp Agency, etc",MIDWEST EMPLOYERS CASUALTY COMPANY,KEYMCP00394601,09/09/2025,09/09/2026,,,,,(925) 625-4822,https://sanfordandsonsmech.com/,Unknown,https://sanfordandsonsmech.com/contact-us,
567485,Corporation,FUTURE AIR,270 KINNEY DRIVE,SAN JOSE,CA,95112,Santa Clara,(408) 971 6616,05/09/1989,05/31/2027,C20,CLEAR,WESTERN SURETY COMPANY,72464726,01/01/2023,,Workers' Compensation Insurance,TRAVELERS PROPERTY CASUALTY COMPANY OF AMERICA,UB1J061687202SG,02/01/2020,02/01/2026,,,,admin@futureair.net,(408) 971-6616,https://futureairsj.net/,Unknown,https://futureairsj.net/contact-us/,
498292,Corporation,MESA3/MECHANICAL ENVIRONMENTAL SYSTEMS ANALYSIS AND ADJUSTMENT,1945 LAS PLUMAS AVE,SAN JOSE,CA,95133,Santa Clara,(408) 928 3000,09/15/1986,09/30/2026,C20,CLEAR,AMERICAN CONTRACTORS INDEMNITY COMPANY,SCR644230,01/01/2023,,Workers' Compensation Insurance,TRAVELERS PROPERTY CASUALTY COMPANY OF AMERICA,UB8N22950925I5G,07/01/2025,07/01/2026,,,,,,,Unknown,,
1121437,Sole Owner,SAM'S REFRIGERATION,814 SOUTH HUMBOLDT STREET,SAN MATEO,CA,94402,San Mateo,(510) 514 9574,05/29/2024,05/31/2026,C20| C38,CLEAR,AMERICAN CONTRACTORS INDEMNITY COMPANY,100857043,05/13/2024,,Workers' Compensation Insurance,AMERICAN CASUALTY COMPANY OF READING PA,7038913090,07/15/2025,07/15/2026,,,Sam Abuarqob,sams.refrigeration.ac@gmail.com,(650) 660-6156,https://www.samsrefrigerationac.com/,Unknown,https://www.bayren.org/business-owners/refrigeration-contractor-list,
1127091,Corporation,MOD COMFORT SOLUTIONS HEATING AND AIR CONDITIONING,4700 NORRIS CANYON RD UNIT 102,SAN RAMON,CA,94583,Contra Costa,(925) 250 0623,09/27/2024,09/30/2026,C20,CLEAR,AMERICAN CONTRACTORS INDEMNITY COMPANY,100890130,09/13/2024,,Workers' Compensation Insurance,CONTINENTAL CASUALTY COMPANY,7038993300,09/13/2024,09/13/2026,,,"Danny (first name only, cited in testimonials)",,(925) 786-7050,https://modhvac.com/,Unknown,https://modhvac.com/,
1028951,Corporation,OMNI MECHANICAL SOLUTIONS,6336 PATTERSON PASS RD STE B,LIVERMORE,CA,94550,Alameda,(925) 218 2340,07/14/2017,07/31/2027,C20| C38,CLEAR,AMERICAN CONTRACTORS INDEMNITY COMPANY,100353180,01/01/2023,,Workers' Compensation Insurance,SECURITY NATIONAL INSURANCE COMPANY,SWC1582137,09/29/2025,09/29/2026,,,Joe Tenca (President),info@omni-mech.com,(925) 218-2340,https://www.omni-mech.com/,Unknown,https://www.thebluebook.com/iProView/1687188/omni-mechanical-solutions/subcontractors/locations-contacts/,
1056488,Limited Liability,SKYROCKET HVAC & APPLIANCE REPAIR,1665 SERPA DR,MILPITAS,CA,95035,Santa Clara,(650) 420 7799,07/31/2019,07/31/2027,C20,CLEAR,WESTERN SURETY COMPANY,67390785,05/29/2025,,Workers' Compensation Insurance,CLEAR SPRING PROPERTY AND CASUALTY COMPANY,CWC03130601,05/29/2025,05/29/2026,,,,info@skyrocketrepair.com,(650) 420-7799,https://skyrocketrepair.com/,Unknown,https://skyrocketrepair.com/contact/,
751692,Sole Owner,KIRK J L CONSTRUCTION,752 SOUTH MARY AVE,SUNNYVALE,CA,94087,Santa Clara,(510) 384 4180,07/13/1998,07/31/2026,B| C20,CLEAR,AMERICAN CONTRACTORS INDEMNITY COMPANY,100400508,01/01/2023,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,9328694,12/01/2023,12/01/2026,,,,,,,Unknown,,
