email_sent_date,source_email_subject,gmail_link,category,current_open_as_of_2026_04_15,opportunity_name,organization_or_agency,location,details_from_email_only,dates_deadlines_from_email_only,contact_or_rsvp_from_email_only,source_validated_notes
2026-04-15,Fwd: Registration Open for SFPUC's 18th Annual Contractors Breakfast 2026,https://mail.google.com/mail/#all/19d93bcd6739ef79,Networking / upcoming projects event,Yes,SFPUC 18th Annual Contractors Breakfast 2026,San Francisco Public Utilities Commission (SFPUC),"The War Memorial, Green Room, 401 Van Ness, San Francisco, CA 94102",Event to share upcoming SFPUC projects and how companies can get involved.,Event date: 2026-05-15; Time: 7:30 AM-11:00 AM; Cost: FREE,Registration link in email,Based only on email body.
2026-04-15,Fwd: Fw: Transbay Block 4 West- General Contractor RFP,https://mail.google.com/mail/#all/19d927a332326526,RFP / General Contractor,Yes,Transbay Block 4 West General Contractor RFP,Mercy Housing California and Young Community Developers / OCII procurement site,"Bounded by Beale, Howard, and Main streets, San Francisco","24-story, 314-unit, 100% affordable housing project for families. NAMC notes there may be JV opportunities with a prime contractor.",Pre-submittal: 2026-04-23 9:00 AM; Questions due: 2026-04-24 2:00 PM; Q&A addendum: 2026-05-01 2:00 PM; Proposals due: 2026-05-21 2:00 PM; Shortlist: 2026-05-29; Interviews: late May/early June; Selection: mid-June,Sean.Wils@mercyhousing.org; Stephanie.Ma@mercyhousing.org; rabbott@ycdjobs.org; jacksmith@ycdjobs.org; RFP link in email,Based only on email body.
2026-04-15,Fwd: Bid Opportunity Notice: BP74 Epoxy Flooring for the UCSF Health Helen Diller Hospital (HDH),https://mail.google.com/mail/#all/19d928776318cb48,Bid opportunity,Yes,UCSF Health Helen Diller Hospital (HDH) - BP74 Epoxy Flooring,UCSF Health,,Bid package BP74 Epoxy Flooring. License classifications: C-15 Flooring and Floor Covering and C-61/D-12 Synthetic Products Contractor.,Prequalification documents available: 2026-04-14,Rebecca.palm@ucsf.edu; supplier registration / BuildingConnected link in email,No bid due date stated in the email body I used.
2026-04-10,Fwd: HURRY - RSVP for Webcor & NAMC NorCal Contractor Engagement Luncheon,https://mail.google.com/mail/#all/19d786bffed065e6,Contractor engagement / networking,Yes,Webcor & NAMC NorCal Contractor Engagement Luncheon,Webcor / NAMC NorCal,"207 King Street, #300, San Francisco, CA","Opportunity to connect directly with Webcor’s procurement, estimating, and project management teams and learn about upcoming project opportunities.","Event date: Tuesday, April 28; Time: 11:00 AM-1:00 PM",RSVP: info@namcnorcal.org,Based only on email body.
2026-04-07,Fwd: R410A Phase Out Seminar – Are You Ready Sacramento?,https://mail.google.com/mail/#all/19d69616d01844e0,Training / seminar,No,R410A Phase Out Seminar – Are You Ready Sacramento?,Frontier Quality HVAC Program,"Capital Event Center, 1120 11th Street, Sacramento, CA 95814","Free one-day seminar for contractors on refrigerant transition, regulatory changes, refrigerant alternatives, safe handling, and Quality HVAC opportunities.",Registration deadline: 2026-04-13; Event date: 2026-04-23 9:15 AM-2:15 PM,https://R410APhaseOutSacramento.eventbrite.com,Closed as of 2026-04-15 because registration deadline passed.
2026-03-30,"Invitation: Webcor & NAMC NorCal Contractor Engagement Luncheon @ Tue Apr 28, 2026 11:30am - 1pm (PDT) (mark@revalue.io)",https://mail.google.com/mail/#all/19d4118eb0598b6f,Calendar invite / contractor engagement,Yes,Webcor & NAMC NorCal Contractor Engagement Luncheon,Webcor / NAMC NorCal,,Calendar invite for luncheon.,Event date: 2026-04-28 11:30 AM-1:00 PM PDT,,"Kept because it is a distinct invitation email, but it overlaps with the reminder email."
2026-03-27,Fwd: Small Developers Belong in the Rule 9-6 Conversation,https://mail.google.com/mail/#all/19d308ee5e961d4d,Policy / industry discussion,No,A Conversation on Rule 9-6 and What It Means for Projects,Build It Green / Bay Area Air District,"300 Frank H. Ogawa Plaza, Oakland, CA 94612","Discussion on Rule 9-6 timeline, project-level impacts, and proposed exemptions for smaller projects and low-income housing.","Event date: Tuesday, April 7, 2026; Time: 4:00 PM-6:00 PM",info@namcnorcal.org for training or upcoming projects in this sector,Past event as of 2026-04-15.
2026-03-23,SMF Concourse B Expansion Terminal Improvements Trade Partner SBE Outreach Event,https://mail.google.com/mail/#all/19d1ce0f67829c7d,Trade partner outreach event,No,Sacramento International Airport Concourse B Expansion Terminal Improvements Trade Partner SBE Outreach Event,Austin Swinerton Joint Venture / Sacramento County Department of Airports,"Depot Park Conference Center, 8215 Ferguson Avenue, Sacramento, CA 95828",Outreach event to learn more about upcoming project.,"Event date: April 8, 2026; Time: 1 PM-3 PM",Register link in email; contact Mick Penn at mpenn@swinerton.com,Past event as of 2026-04-15.
2026-03-13,Fwd: [CA-BD] Call for Participants: Zero‑Emission Equipment in Existing Non‑Residential Buildings,https://mail.google.com/mail/#all/19ce9f0c0eb28bbb,Paid study participation,Unknown,Call for Participants: Zero-Emission Equipment in Existing Non-Residential Buildings,CARB / UCLA California Center for Sustainable Communities,California,"Paid opportunity for electricians, plumbers, contractors, inspectors, building engineers, property owners, and operators to share experience with zero-emission equipment projects in existing non-residential buildings.",Focus groups scheduled March-April 2026; interest form ASAP,Interest form and study website linked in email,I cannot confirm from the email alone whether it remained open on 2026-04-15.
2026-03-11,Fwd: Sierra College Vendor Fair – March 24,https://mail.google.com/mail/#all/19cdeedeee63548d,Vendor fair / procurement outreach,No,Doing Business with Sierra College Vendor Fair,Sierra College,"Sierra College Board Room (Rocklin Campus), 5100 Sierra College Blvd, Rocklin, CA 95677","Vendor fair to learn procurement process, meet Facilities and Construction team, and hear about upcoming subcontractor CMAR procurement with Otto Construction for the Student Union Modernization Project.",Event date: March 24; Time: 3:00-5:00 PM,kmoulton@sierracollege.edu,Past event as of 2026-04-15.
